ccbaCpno_item,ccbaMnm1_item
1123805190000,창녕 관룡사 석조여래좌상
1123805200000,창녕 술정리 서 삼층석탑
1123705210000,영천 숭렬당
1121105230100,"석보상절 권6, 9, 13, 19"
1121105230200,"석보상절 권23, 24"
1123705240200,여주이씨 옥산문중 전적
1123705260200,"여주이씨 옥산문중 유묵 - 원조오잠, 사산오대"
1123305280000,제천 청풍 한벽루
1123605290000,진도 금골산 오층석탑
1123805300000,거창 가섭암지 마애여래삼존입상
1123105310000,양평 용문사 정지국사탑 및 비
1123305320000,영동 영국사 승탑
1123305330000,영동 영국사 삼층석탑
1123305340000,영동 영국사 원각국사비
1123305350000,영동 영국사 망탑봉 삼층석탑
1123405360000,아산 평촌리 석조약사여래입상
1123405370000,아산 읍내동 당간지주
1123405380000,홍성 오관리 당간지주
1122205390000,달성 용연사 금강계단
1123205400000,홍천 괘석리 사사자 삼층석탑
1123205410000,홍천 물걸리 석조여래좌상
1123205420000,홍천 물걸리 석조비로자나불좌상
1123205430000,홍천 물걸리 석조대좌
1123205440000,홍천 물걸리 석조대좌 및 광배
1123205450000,홍천 물걸리 삼층석탑
1123305460000,제천 물태리 석조여래입상
1123905470200,김정희 종가 유물 일괄
1123705480200,이황 필적 - 선조유묵첩
1123705490000,권주 종가 고문서
1123705530000,안동 예안이씨 충효당
1122205540000,달성 태고정
1123705620000,경산 환성사 대웅전
1123605630000,여수 흥국사 홍교
1123105650000,평택 심복사 석조비로자나불좌상
1123105670000,평택 만기사 철조여래좌상
1121105681300,윤봉길의사 유품(1976)
1121105690400,안중근의사 유묵 - 치악의악식자부족여의
1123605710000,여수 통제이공 수군대첩비
1123605720000,순천 송광사 고려고문서
1123705750000,문경 대승사 목각아미타여래설법상 관계문서
1123605780000,흥국사 대웅전 후불탱
1123705810000,경주 골굴암 마애여래좌상
1123405820000,월인석보 목판
1123505830000,전주 풍패지관
1123605840000,구례 윤문효공 신도비
1123705860100,이언적 수고본 일괄 - 속대학혹문
1122406000000,광주 약사암 석조여래좌상
1122206010000,대구 도학동 승탑
1123206020000,이이 수고본 격몽요결
1123706050000,고령 장기리 암각화
1123706060000,문경 도천사지 동·서 삼층석탑
1123706070000,문경 도천사지 삼층석탑
1123506080000,완주 위봉사 보광명전
1123706090000,영양 화천리 삼층석탑
1123706100000,영양 현리 삼층석탑
1123106110000,고양 태고사 원증국사탑비
1123206120000,영월 흥녕사지 징효대사탑비
1123806140000,사천 흥사리 매향비
1122306150000,강화 장정리 석조여래입상
1123706160000,영천향교 대성전
1123706550000,칠곡 노석리 마애불상군
1123306560000,충주 청룡사지 보각국사탑 앞 사자 석등
1121106570000,서울 삼천사지 마애여래입상
1123306580000,충주 청룡사지 보각국사탑비
1123506620000,완주 화암사 우화루
1123306640000,청주 안심사 대웅전
1123706650000,경주 낭산 마애보살삼존좌상
1123706660000,경주 남산 삼릉계 석조여래좌상
1123706670000,예천 한천사 철조비로자나불좌상
1123806710000,곽재우 유물 일괄
1122206730000,달성 현풍 석빙고
1123706740000,영덕 유금사 삼층석탑
1123706750000,영천 화남리 삼층석탑
1123706760000,영천 화남리 석조여래좌상
1123706770000,청도 장연사지 동·서 삼층석탑
1123706780000,청도 운문사 동·서 삼층석탑
1123706790000,김천 광덕리 석조보살입상
1123706800000,영주 신암리 마애여래삼존상
1123706810000,영주 흑석사 석조여래좌상
1123706820000,군위 지보사 삼층석탑
1123706830000,상주 상오리 칠층석탑
1121107060000,중용주자혹문(1981-1)
1121107100000,"동인지문사육 권1~3, 4~6, 10~12, 13~15"
1121107100200,동인지문사육 권1~6
1121107100300,동인지문사육 권10~12
1121107100500,동인지문사육 권7~9(1981)
