ccbaCpno_item,ccbaPcd1_item
1122603820000,20
1123603950000,20
1123304050000,20
1123704240000,20
1123704260000,20
1123704270000,20
1123704290000,20
1123704310000,20
1123304330000,20
1123804360000,20
1123204390000,20
1123204440000,20
1123204450000,20
1123204460000,20
1123204470000,20
1123304590000,20
1123704650000,20
1123804670000,20
1123704690000,20
1123804890000,20
1123804910000,20
1123704920000,20
1123804930000,20
1123204970000,20
1123704980000,20
1123705100000,20
1123805180000,20
1123805200000,20
1123305330000,20
1123205410000,20
1123205420000,20
1123205430000,20
1123205450000,20
1123105650000,20
1123705810000,20
1122406000000,20
1123706060000,20
1123706070000,20
1123706090000,20
1123706100000,20
1123706550000,20
1123706650000,20
1123706660000,20
1123706670000,20
1123706740000,20
1123706750000,20
1123706780000,20
1123706800000,20
1123706810000,20
1123207500000,20
1123709070000,20
1123709080000,20
1123709090000,20
1123709100000,20
1123709110000,20
1123709120000,20
1123709130000,20
1123609430000,20
1123609450000,20
1123609460000,20
1123309840000,20
1123709880000,20
1123709950000,20
1123709960000,20
1123709960200,20
1123809980000,20
1123610400000,20
1123811130000,20
1123811140000,20
1123711210000,20
1123711220000,20
1123711860000,20
1123711880000,20
1123812420000,20
1123212750000,20
1123212760000,20
1123212770000,20
1123212920000,20
1123613480000,20
1123314130000,20
1123314170000,20
1123714270000,20
1123714290000,20
1123814360000,20
1123814710000,20
1123715230000,20
1123315270000,20
1123716360000,20
1123716560000,20
1123717450000,20
1123718670000,20
1123719350000,20
1123420210000,20
1123720690000,20
1333700010000,20
1333700070000,20
1333700080000,20
1333700180000,20
1333700210000,20
1333700230000,20
1333700250000,20
1333700270000,20
1333700280000,20
1333700290000,20
1333700300000,20
1333700310000,20
1333700450000,20
1333700480000,20
1333700880000,20
1333701420000,20
1333701590000,20
1333701790000,20
1333701810000,20
1333701830000,20
1333701840000,20
1333701850000,20
1333701860000,20
1333701870000,20
1333701900000,20
1333702200000,20
1333702220000,20
1333702410000,20
1333102440000,20
1333403070000,20
1333403160000,20
1333703280000,20
1333603380000,20
1331103430000,20
1333503490000,20
1333103820000,20
1333703900000,20
1333604070000,20
1333704190000,20
1333704570000,20
1333204660000,20
1333704770000,20
1333704930000,20
1333705330000,20
1113100040000,30
1113400070000,30
1113700140000,30
1113700150000,30
1113700180000,30
1113700190000,30
1113800320000,30
1113300410000,30
1113600430000,30
1113700450000,30
1113700460000,30
1113200480000,30
1113400490000,30
1113200510000,30
1113600540000,30
1113200590000,30
1113800750000,30
1111101010000,30
1113101200000,30
1113701810000,30
1113802060000,30
1111102650000,30
1113502890000,30
1111102910000,30
1113603080000,30
1113403230000,30
1113203320000,30
1123100060000,30
1123100070000,30
1123100080000,30
1123100090000,30
1122300100000,30
1123100120000,30
1123100130000,30
1123100140000,30
1123300170000,30
1123400180000,30
1123500220000,30
1123500240000,30
1123500250000,30
1123500260000,30
1123500270000,30
1123500290000,30
1123500300000,30
1123500310000,30
1123500320000,30
1123500360000,30
1123500420000,30
1123500430000,30
1123500460000,30
1123600490000,30
1123600500000,30
1123700530000,30
1123700610000,30
1123700680000,30
1123800710000,30
1123800740000,30
1123200760000,30
1123200770000,30
1123200780000,30
1123200790000,30
1123200800000,30
1123200840000,30
1123200850000,30
1123200870000,30
1123600880000,30
1123600890000,30
1123100910000,30
1123100920000,30
1123100930000,30
1123300940000,30
1123300950000,30
1123300960000,30
1123300970000,30
1123300980000,30
1123400990000,30
1123401000000,30
1123401010000,30
1123401040000,30
1123401050000,30
1123401060000,30
1123401080000,30
1122401090000,30
1123701150000,30
1123701190000,30
1123801280000,30
1123601340000,30
1123601520000,30
1123601530000,30
1123601560000,30
1123401620000,30
1123501670000,30
1123701710000,30
1123701720000,30
1123401740000,30
1123601750000,30
1123401840000,30
1123401850000,30
1123201910000,30
1123201920000,30
1123401970000,30
1123602040000,30
1123602060000,30
1123602070000,30
1123702080000,30
1121102150000,30
1123302160000,30
1123402170000,30
