ccbaCpno_item,ccbaCtcd_item,ccbaLcto_item
1333104690000,31,40
1333104030000,31,41
1123105310000,31,43
1123108220000,31,44
1123109820000,31,44
1123115730000,31,44
1333104230000,31,44
1123100090000,31,45
1333103290000,31,45
1333105000000,31,45
1333105300000,31,45
1123112250000,31,47
1333101390000,31,47
1333102020000,31,47
1333102920000,31,47
1123106110000,31,50
1123107490000,31,50
1123110100200,31,50
1333100560000,31,50
1333101440000,31,50
1333101620000,31,50
1333101910000,31,50
1333101980000,31,50
1333102000000,31,50
1333104790000,31,50
1123103970000,31,51
1123118080000,31,51
1123120130000,31,51
1333101970000,31,51
1333102090000,31,51
1123200760000,32,11
1123200770000,32,11
1123201640000,32,11
1113200590000,32,12
1123200780000,32,12
1121104630000,32,12
1123204640000,32,12
1123207500000,32,12
1333204390000,32,12
1333204470000,32,12
1333204660000,32,12
1113200510000,32,13
1123200820000,32,13
1123200830000,32,13
1123200840000,32,13
1123200850000,32,13
1123200860000,32,13
1123200870000,32,13
1123201650000,32,13
1123201830000,32,13
1123201910000,32,13
1123201920000,32,13
1123202140000,32,13
1123206020000,32,13
1123212200000,32,13
1123216250100,32,13
1123220460000,32,13
1123220880000,32,13
1123220890000,32,13
1333203880000,32,13
1123212770000,32,14
1123212920000,32,14
1123204430000,32,16
1123219810000,32,16
1333203760000,32,16
1123202130000,32,17
1333204210000,32,17
1333205240000,32,17
1123200110300,32,32
1123200790000,32,32
1123200800000,32,32
1123205400000,32,32
1123205410000,32,32
1123205420000,32,32
1123205430000,32,32
1123205440000,32,32
1123205450000,32,32
1123207450500,32,32
1123206120000,32,35
1333201960000,32,35
1333204460000,32,35
1333205340000,32,35
1113200360000,32,36
1113200480000,32,36
1113202210000,32,36
1123219950000,32,36
1333200370000,32,36
1113203320000,32,37
1113200630000,32,38
1123202230000,32,38
1123204960000,32,39
1123211820000,32,41
1123212750000,32,41
1123212760000,32,41
1123218320000,32,41
1333205530000,32,41
1123213360000,32,42
1123213370000,32,42
1333204260000,32,42
1113201220000,32,43
1123204390000,32,43
1123204440000,32,43
1123204450000,32,43
1123204460000,32,43
1123204470000,32,43
1123204970000,32,43
1123204990000,32,43
1123213620000,32,43
1123217230000,32,43
1113300410000,33,20
1113301060000,33,20
1113302970000,33,20
1123303670000,33,20
1123303680000,33,20
1123305110000,33,20
1123306640000,33,20
1123309850000,33,20
1123319410000,33,20
1333302120000,33,20
1333303150000,33,20
1333303190000,33,20
1113300060000,33,12
1113301970000,33,12
1113302050000,33,12
1123300160000,33,12
1123300170000,33,12
1123300950000,33,12
1123300960000,33,12
1123300980000,33,12
1123305120000,33,12
1123306560000,33,12
1123306580000,33,12
1123314010000,33,12
1123315270000,33,12
1333301890000,33,12
1333303170000,33,12
1333304000000,33,12
1333304450000,33,12
1333304630000,33,12
1123300940000,33,13
1123304060000,33,13
1123304590000,33,13
1123305280000,33,13
1123305460000,33,13
1123312960000,33,13
1113300050000,33,32
1113300550000,33,32
1113300640000,33,32
1123300150000,33,32
1123302160000,33,32
1123308480000,33,32
1123309150000,33,32
1123309160000,33,32
1123312590000,33,32
1123313600000,33,32
1123313610000,33,32
1123314130000,33,32
1123314160000,33,32
1123314170000,33,32
1123314180000,33,32
1333302350000,33,32
1123313380000,33,33
1123321070000,33,33
1123305320000,33,34
1123305330000,33,34
1123305340000,33,34
1123305350000,33,34
1123309840000,33,34
1123313710000,33,34
1123304040000,33,35
1123300970000,33,36
1123304330000,33,36
1123312950000,33,36
1123312990000,33,36
1123313700000,33,36
1333304010000,33,36
1333304170000,33,36
1113301980000,33,40
1123304050000,33,40
1333302640000,33,40
1333302650000,33,40
1333303980000,33,40
1333305270000,33,42
1113400070000,34,11
1123400990000,34,11
1123403540000,34,11
1123404070000,34,11
1123412460000,34,11
1123412470000,34,11
1123412610000,34,11
1113402980000,34,12
1113402990000,34,12
1123401500000,34,12
1123402560000,34,12
1123402570000,34,12
1123404780000,34,12
1123405820000,34,12
1123407990000,34,12
1123408000000,34,12
1123408010000,34,12
1123408020000,34,12
1123412600000,34,12
1123412840000,34,12
1123412850000,34,12
1123412930000,34,12
1123414950000,34,12
1123421200000,34,12
1333400120000,34,12
1333400130000,34,12
1333403330000,34,12
1333403340000,34,12
1333404330000,34,12
1333404740000,34,12
1113400840000,34,15
1123401020000,34,15
1123401030000,34,15
1123401040000,34,15
1123401050000,34,15
1123401060000,34,15
1123401430000,34,15
1123412640000,34,15
1123416190000,34,15
1123419760000,34,15
1333401160000,34,15
1333403160000,34,15
1333404750000,34,15
1113400760000,34,16
1123403260000,34,16
1123405360000,34,16
1123405370000,34,16
1333401090000,34,16
1333401120000,34,16
1333401550000,34,16
1113400080000,34,17
1123400190000,34,17
1123400200000,34,17
1123400470000,34,17
1123420210000,34,17
1333403070000,34,17
1333403210000,34,17
1333405010000,34,17
1123410070000,34,31
