ccbaCpno,ccbaKdcd,ccmaName,crltsnoNm,ccbaMnm1,ccbaMnm2,ccbaCtcd,ccbaCtcdNm,ccsiName,ccbaAdmin,ccbaAsno,longitude,latitude,ccbaPcd1,ccbaPcd1Nm
1333503470000,13,사적,347,익산 입점리 고분,益山 笠店里 古墳,35,전북,익산시,익산시,03470000,126.870429,36.046065,12,백제
1333103510000,13,사적,351,파주 오두산성,坡州 烏頭山城,31,경기,파주시,파주시,03510000,126.677284682022,37.7744271914552,12,백제
1332503550000,13,사적,355,대전 계족산성,大田 鷄足山城,25,대전,대덕구,대전 대덕구,03550000,127.454421527167,36.3942636849767,12,백제
1333403930000,13,사적,393,논산 노성산성,論山 魯城山城,34,충남,논산시,논산시,03930000,127.1270278,36.28366863,12,백제
1333504050000,13,사적,405,익산 제석사지,益山 帝釋寺址,35,전북,익산시,익산시,04050000,127.069106,35.97382,12,백제
1333504080000,13,사적,408,익산 왕궁리 유적,益山 王宮里 遺蹟,35,전북,익산시,익산시,04080000,127.05487,35.97282,12,백제
1333404200000,13,사적,420,부여 능안골 고분군,扶餘 陵안골 古墳群,34,충남,부여군,부여군,04200000,126.965723,36.272195,12,백제
1333104230000,13,사적,423,이천 설봉산성,利川 雪峯山城,31,경기,이천시,이천시,04230000,127.416851958435,37.2852024161726,12,백제
1333404250000,13,사적,425,부여 화지산 유적,扶餘 花枝山 遺蹟,34,충남,부여군,부여군,04250000,126.915138,36.270593,12,백제
1333404270000,13,사적,427,부여 왕흥사지,扶餘 王興寺址,34,충남,부여군,부여군,04270000,126.906267828445,36.2960219761079,12,백제
1333404280000,13,사적,428,부여 관북리 유적,扶餘 官北里 遺蹟,34,충남,부여군,부여군,04280000,126.9121998,36.28601353,12,백제
1333404340000,13,사적,434,부여 능산리 사지,扶餘 陵山里 寺址,34,충남,부여군,부여군,04340000,126.941190150729,36.2772351112849,12,백제
1333404740000,13,사적,474,공주 정지산 유적,公州 艇止山 遺蹟,34,충남,공주시,공주시,04740000,127.117488014072,36.469146699326,12,백제
1333404750000,13,사적,475,서산 부장리 고분군,瑞山 富長里 古墳群,34,충남,서산시,서산시,04750000,126.52075285787,36.7864213886551,12,백제
1333604920000,13,사적,492,광양 마로산성,光陽 馬老山城,36,전남,광양시,광양시,04920000,127.61654808309,34.9666703809561,12,백제
1333504940000,13,사적,494,정읍 고사부리성,井邑 古沙夫里城,35,전북,정읍시,정읍시,04940000,126.770403128153,35.625306880208,12,백제
1333605050000,13,사적,505,구례 화엄사,求禮 華嚴寺,36,전남,구례군,화엄사,05050000,127.497391199391,35.2565532660194,12,백제
1333305270000,13,사적,527,증평 추성산성,曾坪 杻城山城,33,충북,증평군,증평군,05270000,127.5878839,36.81481572,12,백제
1333505310000,13,사적,531,고창 봉덕리 고분군,高敞 鳳德里 古墳群,35,전북,고창군,고창군,05310000,126.642985783136,35.4356797797961,12,백제
1333505430000,13,사적,543,정읍 은선리와 도계리 고분군,井邑 隱仙里와 道溪里 古墳群,35,전북,정읍시,정읍시,05430000,126.797669819453,35.6428525622707,12,백제
1113700300000,11,국보,30,경주 분황사 모전석탑,慶州 芬皇寺 模塼石塔,37,경북,경주시,분황사,00300000,129.233641826763,35.840561548299,13,신라
1113700310000,11,국보,31,경주 첨성대,慶州 瞻星臺,37,경북,경주시,경주시,00310000,129.218993693668,35.834695848054,13,신라
1113800330000,11,국보,33,창녕 신라 진흥왕 척경비,昌寧 新羅 眞興王 拓境碑,38,경남,창녕군,창녕군,00330000,128.50264501968,35.5407250695667,13,신라
1113301980000,11,국보,198,단양 신라 적성비,丹陽 新羅 赤城碑,33,충북,단양군,단양군,01980000,128.321025920588,36.944434451512,13,신라
1113701990000,11,국보,199,경주 단석산 신선사 마애불상군,慶州 斷石山 神仙寺 磨崖佛像群,37,경북,경주시,경주시,01990000,129.081942767651,35.796818018841,13,신라
